Sample	Group
CK28-0h1	CK28-0h
CK28-0h2	CK28-0h
CK28-18h1	CK28-18h
CK28-18h2	CK28-18h
CK28-36h1	CK28-36h
CK28-36h2	CK28-36h
CK28-6h1	CK28-6h
CK28-6h2	CK28-6h
CK30-0h1	CK30-0h
CK30-0h2	CK30-0h
CK30-18h1	CK30-18h
CK30-18h2	CK30-18h
CK30-36h1	CK30-36h
CK30-36h2	CK30-36h
CK30-6h1	CK30-6h
CK30-6h2	CK30-6h
T28-18h1	T28-18h
T28-18h2	T28-18h
T28-36h1	T28-36h
T28-36h2	T28-36h
T28-6h1	T28-6h
T28-6h2	T28-6h
T30-18h1	T30-18h
T30-18h2	T30-18h
T30-36h1	T30-36h
T30-36h2	T30-36h
T30-6h1	T30-6h
T30-6h2	T30-6h
